name,tagline,topic,description,subscribers,frequency,link
The Good,Level up your eccomerce skills every week.,Ecommerce,Level up your eccomerce skills every week.,0,weekly,https://thegood.com/newsletter/
Irregular Thoughts,"Short stories, personal experiences, and meaningful dialogue.",News,"Short stories, personal experiences, and meaningful dialogue.",0,monthly,https://simoncarne.substack.com/
Zed Letter Day,"Short stories, personal experiences, and meaningful dialogue.",Lifestyle,"Short stories, personal experiences, and meaningful dialogue.",0,monthly,https://www.zedmedium.com/newsletters
the DONUT,News that is actually enjoyable to read.,News,News that is actually enjoyable to read.,0,monthly,https://thedonut.co/?utm_medium=affiliate&utm_source=findyournewsletter&utm_campaign=share-link
Marketer Milk,Keeping thousands of marketers in the loop.,Marketing,Keeping thousands of marketers in the loop.,0,weekly,https://www.marketermilk.com/
The Blip,Adventures in startups and investing.,Investing,Adventures in startups and investing.,0,weekly,https://www.ronanmcgovern.com/
Voisegram,"A real storybook in your inbox, every day.",Parenting,"A real storybook in your inbox, every day.",0,daily,https://voisegram.substack.com/
Things From The Past,your daily dose of history.,History,your daily dose of history.,0,daily,https://thingsfromthepast.substack.com/
Nani the Money,Breaking down crypto & our modern monetary system.,Finance,Breaking down crypto & our modern monetary system.,0,weekly,https://nanithemoney.substack.com/
Catalist,"24 articles on AI/ML, web3, marketing and tech.",Tech,"24 articles on AI/ML, web3, marketing and tech.",0,weekly,https://www.eggknite.com/catalist-newsletter
The Gist,The gist of the sports world in less than 5 minutes.,Sports,The gist of the sports world in less than 5 minutes.,0,weekly,https://www.thegistsports.com/subscribe?SQF_CHANNEL=Website-Unpaid-FindYourNewsletter
Mewsletter,The cats send you impawtent mews to your inbox.,Creator,The cats send you impawtent mews to your inbox.,0,weekly,https://pawcatguide.com/
AI Future,Discover how AI will change life as we know it.,AI,Discover how AI will change life as we know it.,0,weekly,https://aifuture.substack.com/
Taylor Jeane Quotes,Quote of the day emails for motivation & inspiration.,Lifestyle,Quote of the day emails for motivation & inspiration.,0,daily,https://taylorjeanequotes.substack.com/
Microns,Join entrepreneurs & investors looking for their next acquisition.,Startups,Join entrepreneurs & investors looking for their next acquisition.,0,weekly,https://www.microns.io/
"Bye, Social Media!",Market yourself without socials.,Marketing,Market yourself without socials.,0,weekly,https://www.byesocialmedia.com/
Machine Learning Nuggets,The latest machine learning articles delivered to your inbox.,Tech,The latest machine learning articles delivered to your inbox.,0,weekly,https://www.machinelearningnuggets.com/
Write or Die Tribe,Everything you need to start your writing week off right.,Writing,Everything you need to start your writing week off right.,0,weekly,https://www.writeordietribe.com/the-newsletter
The Skinless Grape,Stories from a poet and a clown.,Clowning,Stories from a poet and a clown.,0,weekly,https://juliafae.substack.com/
Invariant,"Valuation, business analysis, markets, and more.",Finance,"Valuation, business analysis, markets, and more.",0,weekly,https://invariant.substack.com/
Art Legends in History,Making art history fun again.,Art,Making art history fun again.,0,weekly,https://www.artlegends.org/
Dev to Agency,Helping devs start & run successful agencies.,Tech,Helping devs start & run successful agencies.,0,weekly,https://www.devtoagency.com/
Startup Flyby,A stealth newsletter about entrepreneurship.,Business,A stealth newsletter about entrepreneurship.,0,weekly,https://www.startupflyby.com/
Respectful Smartass,A funny newsletter flirting with the silly and serious.,Comedy,A funny newsletter flirting with the silly and serious.,0,weekly,https://ariananewhouse.substack.com/
Going John Galt,Investment ideas with a macro overlay.,Finance,Investment ideas with a macro overlay.,0,weekly,https://www.goingjohngalt.com/
Not So Random Thoughts,Inspirational musings on life and spirituality.,Lifestyle,Inspirational musings on life and spirituality.,0,weekly,https://danehrenkrantz.substack.com/
The Book Basement Bulletin,The weekly newsletter of The Book Basement podcast.,Books,The weekly newsletter of The Book Basement podcast.,0,weekly,https://thebookbasement.substack.com/
Ask a Wise Ape,"It’s not about being lucky, it’s about avoiding foolish mistakes.",Finance,"It’s not about being lucky, it’s about avoiding foolish mistakes.",0,daily,https://apeofomaha.substack.com/
Fiona’s Newsletter,"Alternative Women’s Health, Ayurveda, TCM.",Health,"Alternative Women’s Health, Ayurveda, TCM.",0,weekly,https://fionaforde.substack.com/
FX &amp; Macro Weekly,Brings you up to speed on the relevant macro developments.,Finance,Brings you up to speed on the relevant macro developments.,0,weekly,https://www.fxmacro.info/
Mel Makes,A friendly newsletter sharing the things I make.,Art,A friendly newsletter sharing the things I make.,0,weekly,https://melmakes.ca/newsletter/
WTFcrypto,I make sure you don’t fall behind in crypto.,Crypto,I make sure you don’t fall behind in crypto.,0,monthly,https://wtfcrypto.beehiiv.com/
Making Product Sense,Helping founders and product leaders hone their product sense.,Product,Helping founders and product leaders hone their product sense.,0,weekly,https://jolibois.substack.com/
The Present Psychologist Paper,"Mental health, psychology, brains and therapy in one.",Mental health,"Mental health, psychology, brains and therapy in one.",0,monthly,https://thepresentpsychologist.substack.com/
Thinking Historically,"Writing on the invisible, historical processes that shape our lives.",History,"Writing on the invisible, historical processes that shape our lives.",0,monthly,https://thinkinghistorically.substack.com/
Conquering Burnout,"Burnout awareness, prevention, and recovery.",Mental health,"Burnout awareness, prevention, and recovery.",0,weekly,https://conqueringburnout.substack.com/
New Venture Weekly,Realistic business ideas in your inbox.,Business,Realistic business ideas in your inbox.,0,weekly,https://newventureweekly.com/
deepculture,Your favorite weekly smart digest.,Tech,Your favorite weekly smart digest.,0,weekly,https://deepculture.substack.com
Charlie’s Analysis,Investment research.,Finance,Investment research.,0,weekly,https://charliesanalysis.substack.com/
How to Bubble,Detailed tutorials on no-code using Bubble.,Tech,Detailed tutorials on no-code using Bubble.,0,weekly,https://howtobubble.substack.com/
Escape From Clowntown,"Weird, funny semi-true tales plus comedic flights of fantasy.",Comedy,"Weird, funny semi-true tales plus comedic flights of fantasy.",0,weekly,https://www.erflynncomics.com/
This Week In React,Stay up-to-date with React.,Development,Stay up-to-date with React.,0,weekly,https://thisweekinreact.com/find-your-newsletter
A Mystic’s Journal,Metaphysical babble from a modern-day mystic.,Lifestyle,Metaphysical babble from a modern-day mystic.,0,weekly,https://amysticsjournal.substack.com/
PiggyBack,Learn from and piggyback invest alongside capital allocators.,Finance,Learn from and piggyback invest alongside capital allocators.,0,weekly,https://piggyback.one
OpenLampTech,Covering PHP/MySQL for web developers.,Development,Covering PHP/MySQL for web developers.,0,weekly,https://openlamptech.substack.com/
AlgoFin,Merging the world of mathematical modelling and finance.,AI,Merging the world of mathematical modelling and finance.,0,weekly,https://algofin.substack.com/
Two Minute Treatise,Bite-sized explorations of the biggest topics in life.,Philosophy,Bite-sized explorations of the biggest topics in life.,0,weekly,https://twominutetreatise.substack.com
Paradox,The best and worst in pop culture.,Lifestyle,The best and worst in pop culture.,0,weekly,https://miguelrivera.substack.com/
Interesting Data Gigs,The go-to place for incredible Data Analytics-related Jobs.,Tech,The go-to place for incredible Data Analytics-related Jobs.,0,weekly,https://interestingdatagigs.substack.com/
The Intentional Hulk,What does it mean to be human? Who are we to each other?,Lifestyle,What does it mean to be human? Who are we to each other?,0,weekly,https://amyyuki.substack.com/
REw3,Where real estate and web3 intersect,Tech,Where real estate and web3 intersect,0,weekly,https://rew3.substack.com/
Red and Blue Customers,Unlock business efficiency by understanding customers.,Business,Unlock business efficiency by understanding customers.,0,weekly,https://redandblue.substack.com/
Montty’s Notes,Helping you become a better-money-you.,Finance,Helping you become a better-money-you.,0,weekly,https://www.notesfrommontty.co/
Making of a Millionaire,"Making, managing, and investing money in pursuit of Financial Freedom.",Finance,"Making, managing, and investing money in pursuit of Financial Freedom.",0,weekly,https://benlefort.substack.com/
Indie Watch,Handpicked collection of growth marketing content.,Tech,Handpicked collection of growth marketing content.,0,weekly,https://indie.watch/
GrowthFYI,Handpicked collection of growth marketing content.,Marketing,Handpicked collection of growth marketing content.,0,weekly,https://www.growthfyi.com/
Gemfile List,The coolest and most useful RubyGems I can find.,Development,The coolest and most useful RubyGems I can find.,0,weekly,https://gemfilelist.substack.com/
For the Love of Nature,Positive sustainability news.,News,Positive sustainability news.,0,weekly,https://fortheloveofnature.substack.com/
25 on 25,25 new monthly song recommendations.,Music,25 new monthly song recommendations.,0,monthly,https://25on25.com/
Bubble Weekly,Get bubble.io tips & tricks in your email.,Tech,Get bubble.io tips & tricks in your email.,0,weekly,https://www.getrevue.co/profile/bubbleweekly
Main Street Insiders,"We’ll talk investing, economics, personal finance, and entrepreneurship.",Finance,"We’ll talk investing, economics, personal finance, and entrepreneurship.",0,weekly,https://mainstreetinsiders.substack.com/
The Product Principle,"Hot takes, deep dives, and practical frameworks for PMs.",Product,"Hot takes, deep dives, and practical frameworks for PMs.",0,weekly,https://productprinciple.co/
MIDDI,In search of the finer things in life.,Lifestyle,In search of the finer things in life.,0,weekly,https://middi.substack.com/
Startup Growth,The latest startup news and interviews.,Business,The latest startup news and interviews.,0,weekly,https://york.ie/newsletter/
Get SchoolED,Your weekly does of growth.,Growth,Your weekly does of growth.,0,weekly,https://getschooled.substack.com/
Easel to Table,Turning food into still life first and dinner second.,Lifestyle,Turning food into still life first and dinner second.,0,weekly,https://easeltotable.substack.com/
The Week in Games,The latest in the video game industry.,Gaming,The latest in the video game industry.,0,weekly,https://theweekingames.com/
Queer Computer,Decoding the intersection of queerness and tech.,Tech,Decoding the intersection of queerness and tech.,0,weekly,https://queercomputer.substack.com/
ARPU!,Explaining tech companies to non-tech readers.,Business,Explaining tech companies to non-tech readers.,0,weekly,https://arpu.hedder.com/
Mostly metrics,Mostly metrics and biz stuff; not that serious.,Finance,Mostly metrics and biz stuff; not that serious.,0,weekly,https://www.mostlymetrics.com/
Cybersecurity Tips,Helping you uynderstand cybersecurity better.,Cybersecurity,Helping you uynderstand cybersecurity better.,0,weekly,https://cyb3rsecurity.tips/
MarketSike’s Newsletter,The intersection between marketing & psychology.,Marketing,The intersection between marketing & psychology.,0,daily,https://goodwinreads.com/
Goodwin Reads,"Book reviews, buddy reads,lots of bookish fun.",Books,"Book reviews, buddy reads,lots of bookish fun.",0,weekly,https://goodwinreads.com/
Hospitalogy,"Expert analysis on healthcare M&A, strategy, finance, and markets.",Healthcare,"Expert analysis on healthcare M&A, strategy, finance, and markets.",0,weekly,https://workweek.com/discover-newsletters/hospitalogy/
Good Book/Good Bread,Review a book I love with a delicious bread.,Books,Review a book I love with a delicious bread.,0,biweekly,https://goodbookgoodbread.substack.com/
All That Geo,Learn geospatial data visualisation and analysis.,Tech,Learn geospatial data visualisation and analysis.,0,monthly,https://www.allthatgeo.com/
Sermon Notes,Weekly sermon notes based on the liturgical year.,Faith,Weekly sermon notes based on the liturgical year.,0,weekly,https://sermonnotes.substack.com/
Offkilter,I write about weird thoughts.,Lifestyle,I write about weird thoughts.,0,daily,https://theoffkilter.substack.com/
Refind,"7 links from around the web for you, tailored to your interests.",AI,"7 links from around the web for you, tailored to your interests.",0,daily,https://refind.com
Hey Counsel,Legal nuggets to help founders navigate all types of legal issues.,Legal,Legal nuggets to help founders navigate all types of legal issues.,0,weekly,https://heycounsel.substack.com/
A Story A Week,One story delivered to your inbox every seven days.,Writing,One story delivered to your inbox every seven days.,0,weekly,https://robertthewriter.substack.com/
Prompted,Prompts and insights to help you become a bit better each day.,Lifestyle,Prompts and insights to help you become a bit better each day.,0,weekly,https://kevinbronander.substack.com/
My Home Office Hacks,A virtual water cooler for remote folks.,Business,A virtual water cooler for remote folks.,0,weekly,https://iworkfromhome.substack.com/
The Thinking Investor,Important lessons from the best investors.,Finance,Important lessons from the best investors.,0,weekly,https://thethinkinginvestor24.substack.com/
Book Lovers Haven,Empowering YOU as a writer and a reader.,Books,Empowering YOU as a writer and a reader.,0,weekly,https://www.chistell.com/newsletter.html
The Treasure Box,The latest educator development opportunities.,Education,The latest educator development opportunities.,0,weekly,https://thetreasurebox.substack.com/
SMMRY,"The best stories in tech, science, and dev.",Tech,"The best stories in tech, science, and dev.",0,daily,https://smmry.tech/
Departures,The place to be for where to go and what to see.,Travel,The place to be for where to go and what to see.,0,weekly,https://departures.substack.com/
"Well, Technically",Get confidently opinionated in 5 minutes.,Lifestyle,Get confidently opinionated in 5 minutes.,0,weekly,https://www.welltechnically.news/
Gobbledy,The language of software marketing.,Marketing,The language of software marketing.,0,weekly,https://gobbledy.substack.com/
Morning Person,Highly caffeniated recs by Leslie Stephens.,Creator,Highly caffeniated recs by Leslie Stephens.,0,biweekly,https://www.morningpersonnewsletter.com/
Freelance Wins,Curated expert tips and resources to help freelancers win.,Creator,Curated expert tips and resources to help freelancers win.,0,biweekly,https://www.getrevue.co/profile/wedoitremotely
Top of the Lyne,The most exciting SaaS growth stories!,Business,The most exciting SaaS growth stories!,0,weekly,https://www.topofthelyne.co/
BLAG (Better Letters Magazine),Adventures in Sign Painting.,Design,Adventures in Sign Painting.,0,weekly,https://bl.ag/
T.G.I.F. Newsletter,"Resources, Thoughts and Ideas for Teachers and Learners.",Education,"Resources, Thoughts and Ideas for Teachers and Learners.",0,weekly,https://www.jeremyajorgensen.com/
PRontheGO,Your source for global prime PR hacks.,Business,Your source for global prime PR hacks.,0,weekly,https://pronthego.com/
FWIW,"Spending, strategy, and trends in our elections.",News,"Spending, strategy, and trends in our elections.",0,weekly,https://fwiwnewsletter.substack.com/
The Squiz Today,1000s of Aussies get their news here.,News,1000s of Aussies get their news here.,0,weekly,https://www.thesquiz.com.au/
Sport Today,Stay updated on Aussie sports in 10 minutes.,Sports,Stay updated on Aussie sports in 10 minutes.,0,weekly,https://www.sport-today.com.au/
Life-Changing Concepts,"Stories, mental models, and ideas to make you more successful.",Lifestyle,"Stories, mental models, and ideas to make you more successful.",0,weekly,https://fronterablog.com/life-changing-concepts-newsletter/
Beginner.dev,"Advice, insights, and inspiration to help engineers grow.",Development,"Advice, insights, and inspiration to help engineers grow.",0,weekly,https://newsletter.beginner.dev/
The Sunday Startup,Become a sharper entrepreneur.,Business,Become a sharper entrepreneur.,0,weekly,https://www.thesundaystartup.com/
Podup,Save 5 hours a week with a roundup of business podcasts.,Business,Save 5 hours a week with a roundup of business podcasts.,0,weekly,https://www.thepodup.com/
Perpetual Learner,"Reading is easy, taking action is hard.",Lifestyle,"Reading is easy, taking action is hard.",0,weekly,https://perpetuallearner.substack.com/
Extra Points,"For technical founders, indie hackers, and curious devs.",Sports,"For technical founders, indie hackers, and curious devs.",0,daily,https://www.extrapointsmb.com/
Unzip.dev,"For technical founders, indie hackers, and curious devs.",Development,"For technical founders, indie hackers, and curious devs.",0,weekly,https://unzip.dev/
The Lazy Headphone,Read about your favourite bands once a week.,Music,Read about your favourite bands once a week.,0,weekly,https://www.lazyheadphone.com
The Impact,A mix of discoveries from our product journeys.,News,A mix of discoveries from our product journeys.,0,weekly,https://readtheimpact.com/
Organic SaaS Growth,In-depth strategies for organic SaaS growth.,Marketing,In-depth strategies for organic SaaS growth.,0,monthly,https://thoughtlytics.substack.com
Nourished,Read about your favourite bands once a week.,Lifestyle,Read about your favourite bands once a week.,0,weekly,https://kristaettles.substack.com
Mostly Bits,A mix of discoveries from our product journeys.,Product,A mix of discoveries from our product journeys.,0,weekly,http://newsletter.mostlybits.co/
I’m Learning Out Loud,Creating + launching an online course from scratch.,Creator,Creating + launching an online course from scratch.,0,weekly,https://brainoflaraine.substack.com/
How and Why,Making sense of marketing and tech news.,Tech,Making sense of marketing and tech news.,0,weekly,https://www.getrevue.co/profile/lbokobza
Horrific/Terrific,"The week in tech, on a five point scale.",Tech,"The week in tech, on a five point scale.",0,weekly,https://www.horrific-terrific.tech/
Highrise,Marketing news & actionable strategy.,Marketing,Marketing news & actionable strategy.,0,weekly,https://highrisereads.com/
Hacker Hub,High-quality information security news.,Tech,High-quality information security news.,0,weekly,https://williamp.substack.com/
Contrarian Thinking,"Weekly, actionable cashflowing ideas.",Business,"Weekly, actionable cashflowing ideas.",0,weekly,https://contrarianthinking.co/
Books on GIF,The animated alternative to boring book reviews.,Lifestyle,The animated alternative to boring book reviews.,0,weekly,https://booksongif.substack.com/
Attraction Flow,"Becoming a better, more competent individual.",Lifestyle,"Becoming a better, more competent individual.",0,weekly,https://attractionflow.substack.com/
E-commerce Loops,The most relevant ecommerce news.,Marketing,The most relevant ecommerce news.,0,weekly,https://newsletter.ecommerceloops.com/subscribe
No-Code Briefs,Your fresh source of no-code inspiration.,Tech,Your fresh source of no-code inspiration.,0,weekly,https://nocodebriefs.com/
How to Love Comics,"Comics recommendations, lists, tips and more.",Lifestyle,"Comics recommendations, lists, tips and more.",0,weekly,https://www.howtolovecomics.com/
The Techonomics,AI curates news that matters.,Finance,AI curates news that matters.,0,weekly,https://thetechonomics.com/
koyastack,Case studies &amp; new market opportunities.,Tech,Case studies &amp; new market opportunities.,0,weekly,https://koyastack.com/
The Wisdom Project,Ideas to help you get better.,Lifestyle,Ideas to help you get better.,0,weekly,https://wisdomproject.substack.com/
How Curious!,Awesome new discoveries & personal recs.,Lifestyle,Awesome new discoveries & personal recs.,0,weekly,https://newsletter.peterduffy.ie/
The Slice,Keeps founders up to date with emerging SaaS.,Tech,Keeps founders up to date with emerging SaaS.,0,weekly,http://theslice.co
The Discourse,"Insights into product, design & no-code.",Product,"Insights into product, design & no-code.",0,weekly,https://thediscourse.substack.com/
Freelance Python,The best python jobs.,Development,The best python jobs.,0,monthly,https://freelancepython.com
Bullish,The Stock Market in your inbox.,Business,The Stock Market in your inbox.,0,daily,https://bullish.email
Blogging Guide,Make money writing online.,Marketing,Make money writing online.,0,weekly,https://bloggingguide.substack.com
Semicolon&amp;Sons,Indie-hacker screencasts.,Development,Indie-hacker screencasts.,0,weekly,https://www.semicolonandsons.com/
Alternative Assets,Art delivered to your inbox every morning.,Finance,Art delivered to your inbox every morning.,0,weekly,https://alternativeassets.substack.com
IDEAS Merchant,Get actionable growth bites for eCommerce.,Marketing,Get actionable growth bites for eCommerce.,0,weekly,https://ideasmerchant.co/
Comedy Delivered,Weekly comedy videos.,News,Weekly comedy videos.,0,weekly,https://comedydelivered.substack.com/
AdultingADHD,Clumsily navigating life with a late ADHD diagnosis.,News,Clumsily navigating life with a late ADHD diagnosis.,0,biweekly,https://adultingadhd.substack.com/
Random Daily Art,Art delivered to your inbox every morning.,Lifestyle,Art delivered to your inbox every morning.,0,daily,https://randomdailyart.com/
How They See,Interviews with artists & why they create.,Lifestyle,Interviews with artists & why they create.,0,weekly,https://growthinsider.substack.com/
FBA Monthly,Curated news for Amazon sellers & geeks.,News,Curated news for Amazon sellers & geeks.,0,biweekly,https://www.fbamonthly.com/
Psych 🧠,Psychology to make you smarter.,News,Psychology to make you smarter.,0,weekly,https://psych.substack.com/
Album Daily,Like getting a new record everyday.,Music,Like getting a new record everyday.,0,daily,https://albumdaily.com/
Virtual Mojito,Latest trends in virtual events &amp; tools.,News,Latest trends in virtual events &amp; tools.,0,biweekly,https://virtualmojito.substack.com/
VimTricks,"Tips, tricks, guides and more about Vim.",Tech,"Tips, tricks, guides and more about Vim.",0,weekly,https://vimtricks.com/
Unethical Marketing,"Unethical marketing strategies, exposed.",Marketing,"Unethical marketing strategies, exposed.",0,biweekly,https://unethical.marketing/
Keynotes,The best content for digital marketing.,Marketing,The best content for digital marketing.,0,weekly,https://www.getrevue.co/profile/Keynotes
The WP Weekly,The newsletter for WordPress professionals.,Tech,The newsletter for WordPress professionals.,0,weekly,https://theprotoolbox.com/weekly/
Toolbox Weekly,"Tools handpicked for designers, developers &amp; creators.",Tech,"Tools handpicked for designers, developers &amp; creators.",0,weekly,https://theprotoolbox.com/weekly/
Venn Diagrams,"Entertainment, Tech, Emerging Markets.",Tech,"Entertainment, Tech, Emerging Markets.",0,bimonthly,https://venndiagrams.substack.com/
"Not Pretty, Not Rich","News about money, finance, and the economy.",Finance,"News about money, finance, and the economy.",0,monthly,https://sambecker.substack.com/
Oh My Rockness: Livestream Style,Livestream shows happening today.,Music,Livestream shows happening today.,0,daily,http://livestreams.ohmyrockness.com/
Social Studies,News & analysis from Tech Twitter and Social Sciences.,Tech,News & analysis from Tech Twitter and Social Sciences.,0,weekly,https://socialstudies.news/
Workspaces,Insides the workspaces of creatives.,Tech,Insides the workspaces of creatives.,0,weekly,https://workspaces.substack.com/
Weekly Stocktip,Get actual results of our investment signals.,Finance,Get actual results of our investment signals.,0,weekly,https://weeklystocktip.com/
Swipe Files,Curated library of marketing & copywriting examples.,Marketing,Curated library of marketing & copywriting examples.,0,weekly,https://www.swipefiles.co/
Sunday TL;DR,Thoughts & lessons learned trying to build a business.,Business,Thoughts & lessons learned trying to build a business.,0,weekly,https://www.jamalx31.com/newsletter-sunday-tl-dr
SNOWLINE,For adventurers who can’t wait for the weekend.,Lifestyle,For adventurers who can’t wait for the weekend.,0,daily,https://thesnowline.com/
PodBytes,The 10 best golden nuggets in your inbox.,Business,The 10 best golden nuggets in your inbox.,0,weekly,https://podbytes.co/
Food for Agile Thought,The best news & insights for all things agile.,Tech,The best news & insights for all things agile.,0,weekly,https://age-of-product.com/subscribe/
C&amp;S Discover,Supercharge productivity & creativity.,Tech,Supercharge productivity & creativity.,0,weekly,https://colorsandfonts.substack.com/
Podcast Review,"The best podcasts, delivered to your inbox.",News,"The best podcasts, delivered to your inbox.",0,weekly,https://podcastreview.org/newsletter/
Growth Insider,Actionable growth strategies in your inbox.,Product,Actionable growth strategies in your inbox.,0,weekly,https://growthinsider.substack.com/
Defender,Inside the global environmental justice movement.,News,Inside the global environmental justice movement.,0,weekly,https://democracygroup.org/newsletter/
The Democracy Group,Updates on politics and news.,News,Updates on politics and news.,0,weekly,https://democracygroup.org/newsletter/
Easy Money,The money news &amp; the money moves.,Finance,The money news &amp; the money moves.,0,weekly,https://www.policygenius.com/newsletter/
What You Need to Know,"The funniest jokes, sketches, standup, &amp; more.",News,"The funniest jokes, sketches, standup, &amp; more.",0,weekly,https://whatyouneedtoknow.substack.com/
Inciteful,Key takeaways from startup &amp; business podcasts.,Business,Key takeaways from startup &amp; business podcasts.,0,weekly,https://incitefulnewsletter.com
Your Weekly W(h)ine,Wine and dogs in your mailbox each Monday.,Lifestyle,Wine and dogs in your mailbox each Monday.,0,weekly,https://www.yourweeklywhine.com/
Spark Edition,"Inspiring articles, clever tools, &amp; fun links.",Lifestyle,"Inspiring articles, clever tools, &amp; fun links.",0,biweekly,https://sparkedition.com/
Platform &amp;amp; Stream,Essential roundup of music streaming news.,Music,Essential roundup of music streaming news.,0,daily,https://www.platformandstream.com/
Money Talk,Learn to save money &amp; grow wealth.,Finance,Learn to save money &amp; grow wealth.,0,weekly,https://moneytalk.substack.com/
The Healthy Muse,Catch up on everything healthcare here.,News,Catch up on everything healthcare here.,0,weekly,https://thehealthymuse.com
Remote Letter,"Stuff for digital nomads, freelancers, &amp; WFH employees.",Tech,"Stuff for digital nomads, freelancers, &amp; WFH employees.",0,weekly,https://remoteletter.com/
Halfvet,Digital design with a thick typography.,Design,Digital design with a thick typography.,0,bi-weekly,https://www.getrevue.co/profile/halfvet
The Land of Random,Rediscover the magic of the internet!,Tech,Rediscover the magic of the internet!,0,weekly,https://thelandofrandom.substack.com/
Hunger Daily,"Important business, finance, &amp; tech news/insights.",Business,"Important business, finance, &amp; tech news/insights.",0,weekly,https://hungerdaily.com/
Five Things Running,5 curated articles about running.,Lifestyle,5 curated articles about running.,0,weekly,http://running.fivethin.gs/
Five Boosts by Self Helping Yourself,5 easy ways to improve your life.,Lifestyle,5 easy ways to improve your life.,0,weekly,https://fiveboosts.com/
Indie Letters,Byte-sized nuggets for indiemakers &amp; marketers.,Marketing,Byte-sized nuggets for indiemakers &amp; marketers.,0,multi-weekly,https://indieletters.com/
The Mental Health Update,Make mental health meaningful &amp; accessible.,Lifestyle,Make mental health meaningful &amp; accessible.,0,weekly,http://newsletter.thementalhealthupdate.com/
Synk,"Handpicked articles, videos, &amp; more.",Tech,"Handpicked articles, videos, &amp; more.",0,biweekly,https://synk.sh/
Practicing Google,Practical resources on Google &amp; tech.,Tech,Practical resources on Google &amp; tech.,0,weekly,http://newsletter.paoloamoroso.com/
California Mishegoss,Important stories that don&rsquo;t make the top news.,News,Important stories that don&rsquo;t make the top news.,0,weekly,http://www.californiamishegoss.com/
Blogging for Devs,"Learn how to blog, the right way.",Tech,"Learn how to blog, the right way.",0,weekly,https://bloggingfordevs.com/
Benas Digital,How to build a $300k business.,Marketing,How to build a $300k business.,0,weekly,https://benasdigital.com/
Declarative Statements,"Stay smart in economics, technology &amp; more.",News,"Stay smart in economics, technology &amp; more.",0,weekly,https://katelyndonnelly.com/newsletter
TrashPandaThoughts,Personal perspective of life with ADHD.,News,Personal perspective of life with ADHD.,0,weekly,https://trashpandathoughts.substack.com/
WiseGoat,Your weekly dose of tech-satire.,Tech,Your weekly dose of tech-satire.,0,weekly,https://www.gosquared.com/blog/
This Week&amp;rsquo;s Worth,Fascinating things humans put on the Internet.,Tech,Fascinating things humans put on the Internet.,0,weekly,https://www.gosquared.com/blog/
The Startup Index Newsletter,"Must-read, exclusive startup Q&A interviews.",Tech,"Must-read, exclusive startup Q&A interviews.",0,weekly,https://try.docsend.com/newsletter-registration
Launch Personal Finance,Daily dersonal finance tips.,Finance,Daily dersonal finance tips.,0,daily,https://www.gosquared.com/blog/
GoSquared,"The latest tips, tricks and marketing guidance.",Marketing,"The latest tips, tricks and marketing guidance.",0,weekly,https://www.gosquared.com/blog/
FiveMinuteFounder,Actionable advice to improve your company by 1%.,Marketing,Actionable advice to improve your company by 1%.,0,weekly,https://www.fiveminutefounder.com/
Curious Humans,"Brainfood, recent podcast interviews & mind-expanding ideas.",Creator,"Brainfood, recent podcast interviews & mind-expanding ideas.",0,monthly,https://tinyletter.com/jonnymiller
Freshfonts,Crated fonts from independent designers &amp; foundries.,Design,Crated fonts from independent designers &amp; foundries.,0,weekly,https://www.getrevue.co/profile/freshfonts
Creative Dispatch,Where creativity meets technology.,Design,Where creativity meets technology.,0,weekly,https://creativedispatch.substack.com/
Unmassmarket,Use email to grow your company & career.,Marketing,Use email to grow your company & career.,0,weekly,https://unmassmarket.com/
Good Energy,Renewable energy and climate news.,News,Renewable energy and climate news.,0,weekly,https://good-energy.mailchimpsites.com/
Startup Resources,The best tools for your startup.,Marketing,The best tools for your startup.,0,weekly,https://startupresources.io/
Podboxer,The best business podcasts delivered to your inbox.,Marketing,The best business podcasts delivered to your inbox.,0,weekly,https://podboxer.com/
Metric,Practical design thinking.,Design,Practical design thinking.,0,monthly,https://metric.substack.com/
Engineering Growth,The best actionable growth strategies.,Development,The best actionable growth strategies.,0,weekly,https://www.agrigoryan.me
Avoid Boring People,"Tech, finance, and humor rolled into one.",Tech,"Tech, finance, and humor rolled into one.",0,weekly,https://avoidboringpeople.substack.com/
20 Minutes into the Future,Critical look at how tech shapes our lives.,Tech,Critical look at how tech shapes our lives.,0,weekly,https://20minutesintothefuture.substack.com/
SaaS Hacker,Get a SaaS marketing case study delivered weekly.,Marketing,Get a SaaS marketing case study delivered weekly.,0,weekly,https://saashacker.co/blog/
Leanluxe,The best in modern luxury business intelligence.,Marketing,The best in modern luxury business intelligence.,0,weekly,https://leanluxe.com/
Scott’s Cheap Flights,Cheap flights departing from your favorite airports.,Travel,Cheap flights departing from your favorite airports.,0,daily,https://scottscheapflights.com/
Matt’s Flights,Cheap flight alerts departing from your location.,Travel,Cheap flight alerts departing from your location.,0,weekly,https://www.mattsflights.com
The Land of Random,"Cool articles about Tech, AI, Marketing, and more.",marketing,"Cool articles about Tech, AI, Marketing, and more.",0,weekly,http://landofrandom.carrd.co
Influence Weekly,What the Influencer Marketing industry reads.,Creator,What the Influencer Marketing industry reads.,0,weekly,https://influenceweekly.co/
Scamming the Coding Interview,2 emails with targeted dev practices.,Development,2 emails with targeted dev practices.,0,2x weekly,https://scammingthecodinginterview.com/
Steph Smith,"Remote work, continuous growth, and technology.",Development,"Remote work, continuous growth, and technology.",0,weekly,https://www.nocsdegree.com/
